name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.750000;1.483979e-01;-9.598627e+00;2.012551e+01;3.916488e-02;-3.975610e-03;3.718804e+01;2.569661e-02;1.143684e+00;7.039980e+00;1.276908e+01;2.122622e+01;3.802812e+02;1.306857e+03;0;1.377467e+03;-1.566909e+01;2.360876e+03;-1.663176e+01
'unknown';0.800000;1.746689e-01;-7.196592e+00;1.592413e+01;3.679280e-02;-1.701199e-03;3.861468e+01;1.974911e-02;1.332362e+00;6.219126e+00;1.321073e+01;1.608957e+01;6.012072e+02;1.251555e+03;0;1.591481e+03;-1.482532e+01;2.569442e+03;-1.663065e+01
'unknown';0.850000;1.826526e-01;-2.984543e+00;1.067396e+01;3.393453e-02;1.283793e-03;3.878443e+01;6.413669e-03;1.279374e+00;5.486222e+00;1.078482e+01;1.005873e+01;6.133206e+02;1.209306e+03;-1.102596e+02;1.604187e+03;-7.621417e+01;2.511710e+03;-7.460610e+01
'unknown';0.900000;1.527177e-01;-1.524730e+00;1.233938e+01;3.548843e-02;7.577093e-03;0;0;0;0;0;0;8.310732e+02;1.333093e+03;-1.405064e+02;1.761280e+03;-1.371088e+02;2.733557e+03;-1.366649e+02
'unknown';0.950000;1.306001e-01;-1.900747e+00;1.183379e+01;3.947873e-02;6.013246e-03;0;0;0;0;0;0;6.106754e+02;1.360278e+03;-201;1.522476e+03;-201;2.518409e+03;-201
'unknown';1.000000;1.200111e-01;-5.421043e+00;1.443309e+01;3.620899e-02;3.149085e-03;0;0;0;0;0;0;6.068239e+02;1.397414e+03;-201;1.518322e+03;-201;2.566765e+03;-201
'unknown';1.050000;1.136504e-01;-9.354945e+00;1.491858e+01;3.062452e-02;3.987147e-04;0;0;0;0;0;0;5.367488e+02;1.622077e+03;-201;1.518609e+03;-201;2.508786e+03;-201
'unknown';1.100000;1.093863e-01;-1.155305e+01;1.958185e+01;2.823286e-02;2.346913e-03;0;0;0;0;0;0;7.847095e+02;1.653145e+03;-201;1.809812e+03;-201;2.694537e+03;-201
'unknown';1.150000;1.222531e-01;-9.641171e+00;1.646252e+01;2.163759e-02;1.878505e-03;0;0;0;0;0;0;1.003849e+03;1.576312e+03;-201;2.093662e+03;-201;2.962432e+03;-201
'unknown';1.200000;1.311285e-01;-5.956938e+00;1.262420e+01;2.123920e-02;3.006299e-03;0;0;0;0;0;0;8.876523e+02;1.115157e+03;-201;1.954680e+03;-201;2.863046e+03;-201
